[Mon Mar 27 09:13:56.538252 2023] [php:error] [pid 6558] [client 127.0.0.1:48070] PHP Parse error:  syntax error, unexpected token "if" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 139, referer: http://web.bpkad.test/admin
[Mon Mar 27 09:15:10.271978 2023] [php:error] [pid 2569] [client 127.0.0.1:58762] PHP Parse error:  syntax error, unexpected identifier "dd" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
[Mon Mar 27 12:07:05.450147 2023] [php:error] [pid 1519] [client 127.0.0.1:36320] PHP Parse error:  syntax error, unexpected token "if" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
[Mon Mar 27 12:11:00.501030 2023] [php:error] [pid 1518] [client 127.0.0.1:60750] PHP Parse error:  syntax error, unexpected token "}" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 162, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:02:46.912988 2023] [php:error] [pid 1517] [client 127.0.0.1:38736] PHP Parse error:  syntax error, unexpected token "}", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 209, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:04:42.510995 2023] [php:error] [pid 1515] [client 127.0.0.1:44846] PHP Parse error:  syntax error, unexpected token "}", expecting ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 211, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:10:52.695048 2023] [php:error] [pid 6255] [client 127.0.0.1:54900] PHP Parse error:  syntax error, unexpected token "return" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 212, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:13:16.639844 2023] [php:error] [pid 1515] [client 127.0.0.1:39120] PHP Parse error:  syntax error, unexpected token ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 212, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:13:48.671263 2023] [php:error] [pid 1517] [client 127.0.0.1:38566] PHP Parse error:  syntax error, unexpected token ")", expecting variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 214, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:14:34.339241 2023] [php:error] [pid 1513] [client 127.0.0.1:37692] PHP Parse error:  syntax error, unexpected token "return" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 220, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:14:37.365448 2023] [php:error] [pid 1515] [client 127.0.0.1:37708] PHP Parse error:  syntax error, unexpected token "return" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 220, referer: http://web.bpkad.test/admin
[Mon Mar 27 13:20:34.121346 2023] [php:error] [pid 7349] [client 127.0.0.1:44468] PHP Fatal error:  Cannot redeclare App\\Helpers\\Helpers::_reportYearsPost() in /var/www/html/bpkad/app/Helpers/Helpers.php on line 227, referer: http://web.bpkad.test/admin
[Mon Mar 27 15:45:21.895112 2023] [php:error] [pid 1519] [client 127.0.0.1:59918] PHP Parse error:  syntax error, unexpected token "}", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 264, referer: http://web.bpkad.test/admin
[Wed Mar 29 09:41:06.730284 2023] [php:error] [pid 1545] [client 127.0.0.1:53984] PHP Parse error:  syntax error, unexpected token "}", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 275, referer: http://web.bpkad.test/PPID
[Wed Mar 29 09:41:34.303106 2023] [php:error] [pid 1544] [client 127.0.0.1:59912] PHP Parse error:  syntax error, unexpected token "}", expecting ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 277, referer: http://web.bpkad.test/PPID
[Wed Mar 29 09:51:33.853880 2023] [php:error] [pid 1546] [client 127.0.0.1:33508] PHP Parse error:  syntax error, unexpected identifier "KIP", expecting variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 277, referer: http://web.bpkad.test/SubPages/show/cc561fea-b1e4-450b-bbbe-7ffbf64a926f
[Wed Mar 29 09:51:33.854135 2023] [php:error] [pid 1547] [client 127.0.0.1:33514] PHP Parse error:  syntax error, unexpected identifier "KIP", expecting variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 277, referer: http://web.bpkad.test/PPID
